id,title,genres,overview,release_date,poster_path,vote_average
1433813,Sister's Keeper,['Horror'],A horror short film.,2025-03-14,,1.0
1220028,Beginning of a New Era,"['Documentary', 'Music']",Documentary film of indigenous Mayan message of Unity and Hope for Humanity for these new times,2025-03-14,/fTA2LAiDyIQlUwo3giWrlFVKn26.jpg,8.0
1440144,La deuda,['Drama'],,2025-03-14,/cZkT8i9Z2yM38UMEDpqMIvcXm5D.jpg,0.0
1421781,Alleine (+1),['Drama'],,2025-03-14,/jzrVZF8jhKWdmJkPXdP0hTlW3Ia.jpg,0.0
1422471,Dexter,['Thriller'],"Aadi and Yamini's love story takes a tragic turn when Yamini is kidnapped and brutally murdered, plunging Aadi into despair. Struggling with PTSD, he undergoes a memory-erasing treatment and starts anew, reuniting with his childhood friend Bhuvi. However, their lives are upended when Bhuvi's family is taken hostage by a dangerous man named Sadhik. In a tense showdown, Sadhik traps Aadi, Bhuvi, and others in a deadly game, revealing the dark motives behind a string of murders, including Yamini's. Will Aadi uncover the truth and find redemption amidst the chaos?",2025-03-14,/6jLbZlzNOfHQgD0a1wgtBuscriZ.jpg,0.0
1422235,Let's Go Somewhere Else,['Drama'],"Five years of silence end when former high school best friends, Ethan and Gio, both cramming for finals, unexpectedly reunite at a cafe. With the cafe closing early, they must go somewhere else, confronting the unresolved pain of their fractured past.",2025-03-14,/64ct5c880qyekgTiwvg8dNBsAz6.jpg,5.5
1424103,Checkmate,[],,2025-03-14,/8Vzbj4wGOgF18qd1PWYwlNToi6K.jpg,0.0
1424565,Down We Go,['Drama'],A Countdown. A Chance?,2025-03-14,/toxjx90Q2ERDtMABDdcGhRKcxQr.jpg,0.0
1424352,Taympers,['Comedy'],An innocent child Yumi is suddenly introduced to the world of womanhood when she witnesses her older sister Chloe feel pain in her body.,2025-03-14,/ptAQ9vlCGv7uSgMkLPZzPYkuMKH.jpg,0.0
1425892,STEP OUT,['Drama'],"Set against the vibrant and culturally rich backdrop of Okinawa, Step Out tells the inspiring story of Teruya, a young boy who discovers his passion for dance. Living with his dedicated single mother, Akane, and his introverted younger sister, Mai, Teruya finds himself drawn to dance after meeting Lisa, a skilled dancer at a local school. As Teruya hones his skills and partners with Lisa, his growing talent opens the door to both exciting opportunities and unexpected challenges.",2025-03-14,/228se3JN0viTUd2B9XwHgDTnC86.jpg,0.0
1426337,Fleeting,"['Romance', 'Comedy']",A dreamer who wants to fly around the world meets an unambitious heir with whom she forges an improbable romance.,2025-03-14,/8dLXLQpjDUt6MwXiVHT3rqjG4Rs.jpg,0.0
1428780,Last Resort,"['Drama', 'Thriller']","Two men star in a never-ending television show, but one grows increasingly paranoid and desperate to reclaim his autonomy.",2025-03-14,/2eVlSCxXZlbZGD7XhBcPNCFGUli.jpg,0.0
1428541,Machine de rêve,['Documentary'],"Two sailing passionates build an ice canoe, igniting the spark of a rediscovered memory for a rich culture that is still very much alive.",2025-03-14,/hmCSvZty05pwLdSbCJ21HBLjE4K.jpg,0.0
1431744,Battle King!! Map of The Mind Part 2,[],,2025-03-14,/GxwDgOay2EbERIwvrITFHaAhFs.jpg,0.0
1431328,Cereal Bowl,['Fantasy'],A boy discovers a fault in his normal day-to-day life.,2025-03-14,,0.0
1432101,müssen müssen,"['Animation', 'Comedy', 'Music']",,2025-03-14,/361LsDbpmOBVu5r0kqhoT6OYtw5.jpg,0.0
1433881,They Watch,['Thriller'],"A young woman's reality unravels as she becomes convinced she's being stalked by unseen, mysterious forces.",2025-03-14,,0.0
1433872,Herman 2,['Horror'],A short horror film.,2025-03-14,/10g7bNgdU0P8dbOXsqQcCLsj4c5.jpg,0.0
1433862,Wolves in the Trenches,['Horror'],A short horror film.,2025-03-14,,0.0
1433860,The Buried River,['Horror'],A short horror film.,2025-03-14,,0.0
